datetime,actual_performance(10000 kW)
01-01-2021 00:00,1571
01-01-2021 01:00,1492
01-01-2021 02:00,1453
01-01-2021 03:00,1412
01-01-2021 04:00,1358
01-01-2021 05:00,1298
01-01-2021 06:00,1305
01-01-2021 07:00,1401
01-01-2021 08:00,1535
01-01-2021 09:00,1555
01-01-2021 10:00,1498
01-01-2021 11:00,1487
01-01-2021 12:00,1506
01-01-2021 13:00,1511
01-01-2021 14:00,1457
01-01-2021 15:00,1454
01-01-2021 16:00,1497
01-01-2021 17:00,1632
01-01-2021 18:00,1679
01-01-2021 19:00,1671
01-01-2021 20:00,1663
01-01-2021 21:00,1640
01-01-2021 22:00,1566
01-01-2021 23:00,1524
02-01-2021 00:00,1438
02-01-2021 01:00,1385
02-01-2021 02:00,1386
02-01-2021 03:00,1363
02-01-2021 04:00,1314
02-01-2021 05:00,1269
02-01-2021 06:00,1294
02-01-2021 07:00,1404
02-01-2021 08:00,1546
02-01-2021 09:00,1587
02-01-2021 10:00,1549
02-01-2021 11:00,1513
02-01-2021 12:00,1468
02-01-2021 13:00,1426
02-01-2021 14:00,1410
02-01-2021 15:00,1425
02-01-2021 16:00,1503
02-01-2021 17:00,1658
02-01-2021 18:00,1712
02-01-2021 19:00,1708
02-01-2021 20:00,1692
02-01-2021 21:00,1648
02-01-2021 22:00,1565
02-01-2021 23:00,1520
03-01-2021 00:00,1436
03-01-2021 01:00,1384
03-01-2021 02:00,1382
03-01-2021 03:00,1362
03-01-2021 04:00,1315
03-01-2021 05:00,1264
03-01-2021 06:00,1275
03-01-2021 07:00,1376
03-01-2021 08:00,1526
03-01-2021 09:00,1597
03-01-2021 10:00,1587
03-01-2021 11:00,1552
03-01-2021 12:00,1506
03-01-2021 13:00,1473
03-01-2021 14:00,1452
03-01-2021 15:00,1476
03-01-2021 16:00,1544
03-01-2021 17:00,1697
03-01-2021 18:00,1749
03-01-2021 19:00,1740
03-01-2021 20:00,1717
03-01-2021 21:00,1651
03-01-2021 22:00,1549
03-01-2021 23:00,1483
04-01-2021 00:00,1390
04-01-2021 01:00,1344
04-01-2021 02:00,1350
04-01-2021 03:00,1336
04-01-2021 04:00,1304
04-01-2021 05:00,1295
04-01-2021 06:00,1399
04-01-2021 07:00,1579
04-01-2021 08:00,1763
04-01-2021 09:00,1781
04-01-2021 10:00,1737
04-01-2021 11:00,1688
04-01-2021 12:00,1649
04-01-2021 13:00,1624
04-01-2021 14:00,1601
04-01-2021 15:00,1627
04-01-2021 16:00,1695
04-01-2021 17:00,1844
04-01-2021 18:00,1884
04-01-2021 19:00,1876
04-01-2021 20:00,1847
04-01-2021 21:00,1774
04-01-2021 22:00,1663
04-01-2021 23:00,1591
05-01-2021 00:00,1495
05-01-2021 01:00,1446
05-01-2021 02:00,1450
05-01-2021 03:00,1440
05-01-2021 04:00,1409
05-01-2021 05:00,1419
05-01-2021 06:00,1577
05-01-2021 07:00,1822
05-01-2021 08:00,2115
05-01-2021 09:00,2255
05-01-2021 10:00,2242
05-01-2021 11:00,2202
05-01-2021 12:00,2106
05-01-2021 13:00,2122
05-01-2021 14:00,2109
05-01-2021 15:00,2102
05-01-2021 16:00,2138
05-01-2021 17:00,2155
05-01-2021 18:00,2129
05-01-2021 19:00,2071
05-01-2021 20:00,2000
05-01-2021 21:00,1902
05-01-2021 22:00,1763
05-01-2021 23:00,1654
06-01-2021 00:00,1538
06-01-2021 01:00,1488
06-01-2021 02:00,1496
06-01-2021 03:00,1497
06-01-2021 04:00,1491
06-01-2021 05:00,1516
06-01-2021 06:00,1669
06-01-2021 07:00,1872
06-01-2021 08:00,2106
06-01-2021 09:00,2188
06-01-2021 10:00,2161
06-01-2021 11:00,2121
06-01-2021 12:00,2010
06-01-2021 13:00,2070
06-01-2021 14:00,2082
06-01-2021 15:00,2076
06-01-2021 16:00,2125
06-01-2021 17:00,2157
06-01-2021 18:00,2149
06-01-2021 19:00,2088
06-01-2021 20:00,2023
06-01-2021 21:00,1933
06-01-2021 22:00,1825
06-01-2021 23:00,1722
07-01-2021 00:00,1608
07-01-2021 01:00,1560
07-01-2021 02:00,1571
07-01-2021 03:00,1566
07-01-2021 04:00,1544
07-01-2021 05:00,1566
07-01-2021 06:00,1735
07-01-2021 07:00,1945
07-01-2021 08:00,2204
07-01-2021 09:00,2340
07-01-2021 10:00,2356
07-01-2021 11:00,2342
07-01-2021 12:00,2230
07-01-2021 13:00,2278
07-01-2021 14:00,2280
07-01-2021 15:00,2323
07-01-2021 16:00,2416
07-01-2021 17:00,2479
07-01-2021 18:00,2477
07-01-2021 19:00,2414
07-01-2021 20:00,2339
07-01-2021 21:00,2243
07-01-2021 22:00,2103
07-01-2021 23:00,1999
08-01-2021 00:00,1857
08-01-2021 01:00,1785
08-01-2021 02:00,1772
08-01-2021 03:00,1758
08-01-2021 04:00,1730
08-01-2021 05:00,1774
08-01-2021 06:00,1997
08-01-2021 07:00,2244
08-01-2021 08:00,2466
08-01-2021 09:00,2548
08-01-2021 10:00,2501
08-01-2021 11:00,2465
08-01-2021 12:00,2376
08-01-2021 13:00,2417
08-01-2021 14:00,2423
08-01-2021 15:00,2456
08-01-2021 16:00,2524
08-01-2021 17:00,2564
08-01-2021 18:00,2551
08-01-2021 19:00,2474
08-01-2021 20:00,2392
08-01-2021 21:00,2297
